LED_CHAMBER_2022
DATE: 2023-02-03
TIME: 14:28:09
(START)WAIT_TIME: 3 MIN
LED_RATE: 5
LED_VALUE: 0.0 20.0 40.0 60.0 80.0 100
CYCLE_COUNT: 12 CYCLE_MINUTE: 2.0 MINUTE
STIR_PUMP_RATE: 60 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
1 0 1 2023-02-03 14:31:22 258.5 22.82
2 0 2 2023-02-03 14:31:32 257.32 22.88
3 0 3 2023-02-03 14:31:42 257.8 22.9
4 0 4 2023-02-03 14:31:52 257.39 22.9
5 0 5 2023-02-03 14:32:02 257.29 22.93
6 0 6 2023-02-03 14:32:12 257.24 22.93
7 0 7 2023-02-03 14:32:22 256.85 22.96
8 0 8 2023-02-03 14:32:32 257.02 22.96
9 0 9 2023-02-03 14:32:42 256.82 22.99
10 0 10 2023-02-03 14:32:52 256.87 22.99
11 0 11 2023-02-03 14:33:02 256.77 22.99
12 0 12 2023-02-03 14:33:12 256.48 23.02
13 1 1 2023-02-03 14:33:24 256.96 23.02
14 1 2 2023-02-03 14:33:34 256.45 23.04
15 1 3 2023-02-03 14:33:44 256.16 23.04
16 1 4 2023-02-03 14:33:54 255.91 23.07
17 1 5 2023-02-03 14:34:04 256.27 23.07
18 1 6 2023-02-03 14:34:14 256.47 23.07
19 1 7 2023-02-03 14:34:24 256.03 23.1
20 1 8 2023-02-03 14:34:34 255.52 23.1
21 1 9 2023-02-03 14:34:44 256.33 23.13
22 1 10 2023-02-03 14:34:54 255.87 23.16
23 1 11 2023-02-03 14:35:05 255.2 23.16
24 1 12 2023-02-03 14:35:15 255.77 23.16
25 2 1 2023-02-03 14:35:27 255.6 23.18
26 2 2 2023-02-03 14:35:37 255.58 23.18
27 2 3 2023-02-03 14:35:47 255.26 23.21
28 2 4 2023-02-03 14:35:57 254.92 23.24
29 2 5 2023-02-03 14:36:07 255.66 23.24
30 2 6 2023-02-03 14:36:17 255.05 23.3
31 2 7 2023-02-03 14:36:27 254.72 23.27
32 2 8 2023-02-03 14:36:37 255.38 23.3
33 2 9 2023-02-03 14:36:47 255.43 23.32
34 2 10 2023-02-03 14:36:57 254.15 23.35
35 2 11 2023-02-03 14:37:07 254.17 23.38
36 2 12 2023-02-03 14:37:17 255.32 23.38
37 3 1 2023-02-03 14:37:29 253.68 23.41
38 3 2 2023-02-03 14:37:39 254.57 23.41
39 3 3 2023-02-03 14:37:49 255.07 23.44
40 3 4 2023-02-03 14:37:59 253.74 23.47
41 3 5 2023-02-03 14:38:09 254.08 23.47
42 3 6 2023-02-03 14:38:19 254.33 23.49
43 3 7 2023-02-03 14:38:29 254.09 23.52
44 3 8 2023-02-03 14:38:39 253.67 23.55
45 3 9 2023-02-03 14:38:49 253.55 23.55
46 3 10 2023-02-03 14:38:59 253.28 23.58
47 3 11 2023-02-03 14:39:09 254.24 23.58
48 3 12 2023-02-03 14:39:19 254.04 23.61
49 4 1 2023-02-03 14:39:32 253.8 23.61
50 4 2 2023-02-03 14:39:42 254.25 23.63
51 4 3 2023-02-03 14:39:52 252.62 23.66
52 4 4 2023-02-03 14:40:02 253.48 23.66
53 4 5 2023-02-03 14:40:12 253.56 23.72
54 4 6 2023-02-03 14:40:22 253.08 23.72
55 4 7 2023-02-03 14:40:32 252.8 23.72
56 4 8 2023-02-03 14:40:42 253.43 23.75
57 4 9 2023-02-03 14:40:52 253.39 23.75
58 4 10 2023-02-03 14:41:02 253.02 23.78
59 4 11 2023-02-03 14:41:12 252.82 23.81
60 4 12 2023-02-03 14:41:22 252.89 23.81
61 5 1 2023-02-03 14:41:34 252.81 23.83
62 5 2 2023-02-03 14:41:44 252.86 23.83
63 5 3 2023-02-03 14:41:54 252.83 23.86
64 5 4 2023-02-03 14:42:04 252.44 23.89
65 5 5 2023-02-03 14:42:14 252.56 23.89
66 5 6 2023-02-03 14:42:24 252.39 23.92
67 5 7 2023-02-03 14:42:34 252.48 23.92
68 5 8 2023-02-03 14:42:44 252.55 23.95
69 5 9 2023-02-03 14:42:54 252.08 23.98
70 5 10 2023-02-03 14:43:04 252.28 23.98
71 5 11 2023-02-03 14:43:14 252.22 24.01
72 5 12 2023-02-03 14:43:24 252.41 24.01
73 X 1 2023-02-03 14:43:35 252.02 24.03
74 X 2 2023-02-03 14:43:45 251.89 24.06
75 X 3 2023-02-03 14:43:55 252.06 24.06
76 X 4 2023-02-03 14:44:04 251.8 24.06
77 X 5 2023-02-03 14:44:15 251.89 24.06
78 X 6 2023-02-03 14:44:25 251.58 24.09
79 X 7 2023-02-03 14:44:35 251.67 24.09
80 X 8 2023-02-03 14:44:45 251.77 24.09
81 X 9 2023-02-03 14:44:55 251.67 24.09
82 X 10 2023-02-03 14:45:05 251.58 24.09
83 X 11 2023-02-03 14:45:15 251.72 24.09

