LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
111 0 111 2023-2-2 13:40:19 254.46 23.78
112 0 112 2023-2-2 13:40:29 254.41 23.78
113 0 113 2023-2-2 13:40:39 254.19 23.78
114 0 114 2023-2-2 13:40:49 254.36 23.78
115 0 115 2023-2-2 13:40:59 254.41 23.78
116 0 116 2023-2-2 13:41:9 254.9 23.75
117 0 117 2023-2-2 13:41:19 254.41 23.78
118 0 118 2023-2-2 13:41:29 254.48 23.78
119 0 119 2023-2-2 13:41:39 254.7 23.75
120 0 120 2023-2-2 13:41:49 254.49 23.75
121 1 1 2023-2-2 13:42:1 253.65 23.75
122 1 2 2023-2-2 13:42:11 254.9 23.75
123 1 3 2023-2-2 13:42:21 254.94 23.75
124 1 4 2023-2-2 13:42:31 254.51 23.75
125 1 5 2023-2-2 13:42:41 254.15 23.75
126 1 6 2023-2-2 13:42:51 254.1 23.75
127 1 7 2023-2-2 13:43:1 255.84 23.72
128 1 8 2023-2-2 13:43:11 254.71 23.72
129 1 9 2023-2-2 13:43:21 254.3 23.75
130 1 10 2023-2-2 13:43:31 254.66 23.72
131 1 11 2023-2-2 13:43:41 255.36 23.72
132 1 12 2023-2-2 13:43:51 255.55 23.72
133 1 13 2023-2-2 13:44:1 254.28 23.72
134 1 14 2023-2-2 13:44:11 254.93 23.72
135 1 15 2023-2-2 13:44:21 255.17 23.72
136 1 16 2023-2-2 13:44:31 255.63 23.72
137 1 17 2023-2-2 13:44:41 253.78 23.72
138 1 18 2023-2-2 13:44:51 255.54 23.69
139 1 19 2023-2-2 13:45:1 255.17 23.69
140 1 20 2023-2-2 13:45:11 255.44 23.69
141 1 21 2023-2-2 13:45:21 254.98 23.69
