cycle 5 Stir_pump_PWM 30
Cycle Start_time_Day Start_time_Hour 
1 2023-02-02 14:20:00 30 30
2 2023-02-02 15:00:00 30 30
3 2023-02-02 15:40:00 30 30
4 2023-02-02 16:20:00 30 30
5 2023-02-02 14:10:00 30 30

No_Count Cycle Cycle_Count Measure_time_Day Measure_time_Hour Oxyzen_value_1 Oxyzen_value_2 Temp_value_1 Temp_value_2 THL_FLX THL_Temp Stir_pump_working Fill_pump_working
305 3 64 2023-02-02 16:01:06 230.5 255.87 24.52 21.66 73.3 22.7 1 0
306 3 65 2023-02-02 16:01:25 229.98 255.69 24.55 21.69 56.6 22.7 1 0
307 3 66 2023-02-02 16:01:45 230.1 255.35 24.55 21.69 56.6 22.7 1 0
308 3 67 2023-02-02 16:02:05 230.36 255.41 24.55 21.72 76.6 22.7 1 0
309 3 68 2023-02-02 16:02:25 230.43 255.12 24.55 21.72 63.3 22.7 1 0
310 3 69 2023-02-02 16:02:46 230.0 255.5 24.55 21.72 66.6 22.7 1 0
311 3 70 2023-02-02 16:03:05 230.19 255.2 24.55 21.74 70.0 22.7 1 0
312 3 71 2023-02-02 16:03:25 230.1 255.29 24.58 21.74 59.9 22.7 1 0
313 3 72 2023-02-02 16:03:45 230.13 255.13 24.55 21.74 56.6 22.7 1 0
314 3 73 2023-02-02 16:04:05 230.27 255.58 24.58 21.74 70.0 22.7 1 0
315 3 74 2023-02-02 16:04:26 229.93 255.3 24.58 21.77 66.6 22.7 1 0
316 3 75 2023-02-02 16:04:46 230.12 255.13 24.58 21.77 70.0 22.7 1 0
317 3 76 2023-02-02 16:05:05 230.16 255.76 24.58 21.8 63.3 22.7 1 0
318 3 77 2023-02-02 16:05:25 229.97 255.31 24.58 21.8 70.0 22.7 1 0
319 3 78 2023-02-02 16:05:45 230.16 255.28 24.58 21.8 59.9 22.7 1 0
320 3 79 2023-02-02 16:06:06 230.01 255.21 24.58 21.8 66.6 22.7 1 0
321 3 80 2023-02-02 16:06:26 229.93 255.57 24.58 21.8 70.0 22.7 1 0
322 3 81 2023-02-02 16:06:45 229.95 255.64 24.58 21.8 73.3 22.7 1 0
323 3 82 2023-02-02 16:07:05 229.84 255.46 24.58 21.82 73.3 22.8 1 0
324 3 83 2023-02-02 16:07:25 230.3 255.48 24.55 21.82 70.0 22.7 1 0
325 3 84 2023-02-02 16:07:46 229.84 255.39 24.58 21.82 76.6 22.8 1 0
326 3 85 2023-02-02 16:08:06 230.77 255.44 24.55 21.85 63.3 22.8 1 0
327 3 86 2023-02-02 16:08:25 230.21 256.38 24.58 21.85 53.3 22.8 1 0
328 3 87 2023-02-02 16:08:45 230.18 256.02 24.58 21.85 80.0 22.8 1 0
329 3 88 2023-02-02 16:09:05 230.69 256.26 24.55 21.85 73.3 22.8 1 0
330 3 89 2023-02-02 16:09:26 230.54 255.9 24.55 21.85 73.3 22.8 1 0
331 3 90 2023-02-02 16:09:46 230.23 258.49 24.55 21.85 63.3 22.8 1 1

