cycle 20 Stir_pump_PWM 30%
Cycle Start_time_Day Start_time_Hour 
1 2023-02-08 17:20:00 50 30
2 2023-02-08 18:20:00 50 30
3 2023-02-08 19:20:00 50 30
4 2023-02-08 20:20:00 50 30
5 2023-02-08 21:20:00 50 30
6 2023-02-08 22:20:00 50 30
7 2023-02-08 23:20:00 50 30
8 2023-02-09 00:20:00 50 30
9 2023-02-09 01:20:00 50 30
10 2023-02-09 02:20:00 50 30
11 2023-02-09 03:20:00 50 30
12 2023-02-09 04:20:00 50 30
13 2023-02-09 05:20:00 50 30
14 2023-02-09 06:20:00 50 30
15 2023-02-09 07:20:00 50 30
16 2023-02-09 08:20:00 50 30
17 2023-02-09 09:20:00 50 30
18 2023-02-09 10:20:00 50 30
19 2023-02-09 11:20:00 50 30
20 2023-02-09 12:20:00 50 30

No_Count Cycle Cycle_Count Date Time Oxygen_1 Oxygen_2 Temp_1 Temp_2 Light THL_Temp Stir_On Fill_On
1 1 1 2023-02-08 17:20:07 232.16 246.51 24.67 21.43 36.6 22.8 1 0
2 1 2 2023-02-08 17:20:17 232.25 245.92 24.67 21.43 36.6 22.7 1 0
3 1 3 2023-02-08 17:20:27 232.27 245.06 24.67 21.45 43.3 22.8 1 0
4 1 4 2023-02-08 17:20:37 232.18 244.58 24.67 21.45 16.6 22.7 1 0
5 1 5 2023-02-08 17:20:47 232.14 244.08 24.67 21.48 36.6 22.8 1 0
6 1 6 2023-02-08 17:20:57 232.05 244.13 24.67 21.48 43.3 22.8 1 0
7 1 7 2023-02-08 17:21:07 232.16 243.59 24.67 21.48 33.3 22.8 1 0
8 1 8 2023-02-08 17:21:17 232.03 243.34 24.67 21.5 36.6 22.7 1 0
9 1 9 2023-02-08 17:21:27 232.18 243.32 24.67 21.5 49.9 22.8 1 0
10 1 10 2023-02-08 17:21:37 232.31 243.41 24.67 21.5 43.3 22.7 1 0
11 1 11 2023-02-08 17:21:47 232.18 243.25 24.67 21.53 43.3 22.8 1 0
12 1 12 2023-02-08 17:21:57 232.49 242.92 24.67 21.53 46.6 22.7 1 0
13 1 13 2023-02-08 17:22:07 232.43 242.94 24.64 21.53 23.3 22.8 1 0
14 1 14 2023-02-08 17:22:17 231.92 242.36 24.67 21.56 46.6 22.7 1 0
15 1 15 2023-02-08 17:22:27 232.32 242.94 24.64 21.56 46.6 22.7 1 0
16 1 16 2023-02-08 17:22:37 232.28 242.6 24.64 21.56 43.3 22.8 1 0
17 1 17 2023-02-08 17:22:47 232.32 242.69 24.64 21.56 43.3 22.8 1 0
18 1 18 2023-02-08 17:22:57 232.3 242.72 24.64 21.56 46.6 22.7 1 0
19 1 19 2023-02-08 17:23:07 232.16 242.54 24.67 21.58 26.6 22.8 1 0
20 1 20 2023-02-08 17:23:17 232.56 242.59 24.64 21.58 53.3 22.7 1 0
21 1 21 2023-02-08 17:23:27 232.25 242.72 24.64 21.58 40.0 22.7 1 0
22 1 22 2023-02-08 17:23:37 232.03 242.65 24.67 21.58 40.0 22.7 1 0
23 1 23 2023-02-08 17:23:47 232.45 242.95 24.64 21.58 36.6 22.8 1 0
24 1 24 2023-02-08 17:23:57 232.47 242.57 24.64 21.61 46.6 22.7 1 0
25 1 25 2023-02-08 17:24:07 232.17 242.75 24.64 21.61 46.6 22.7 1 0
26 1 26 2023-02-08 17:24:17 232.2 242.68 24.67 21.61 43.3 22.8 1 0
27 1 27 2023-02-08 17:24:27 232.05 242.68 24.67 21.61 49.9 22.7 1 0
28 1 28 2023-02-08 17:24:37 232.16 242.97 24.67 21.61 43.3 22.8 1 0
29 1 29 2023-02-08 17:24:47 232.16 242.57 24.67 21.64 49.9 22.7 1 0
30 1 30 2023-02-08 17:24:57 232.14 242.89 24.67 21.64 49.9 22.8 1 0
31 1 31 2023-02-08 17:25:07 232.12 242.73 24.67 21.64 40.0 22.8 1 0
32 1 32 2023-02-08 17:25:17 232.2 242.59 24.67 21.64 43.3 22.7 1 0
33 1 33 2023-02-08 17:25:27 232.16 242.77 24.67 21.64 53.3 22.7 1 0
34 1 34 2023-02-08 17:25:37 231.88 242.59 24.67 21.64 49.9 22.8 1 0
35 1 35 2023-02-08 17:25:47 232.12 242.51 24.67 21.66 43.3 22.8 1 0
36 1 36 2023-02-08 17:25:57 232.4 242.73 24.67 21.66 49.9 22.8 1 0
37 1 37 2023-02-08 17:26:07 232.34 242.73 24.67 21.66 29.9 22.8 1 0
38 1 38 2023-02-08 17:26:17 232.1 242.51 24.67 21.69 43.3 22.7 1 0
39 1 39 2023-02-08 17:26:28 232.29 242.42 24.67 21.69 40.0 22.8 1 0
40 1 40 2023-02-08 17:26:38 232.05 242.69 24.67 21.69 49.9 22.8 1 0
41 1 41 2023-02-08 17:26:48 232.03 242.8 24.67 21.69 43.3 22.8 1 0
42 1 42 2023-02-08 17:26:58 232.25 242.96 24.67 21.69 23.3 22.8 1 0
43 1 43 2023-02-08 17:27:08 232.38 242.65 24.67 21.72 36.6 22.8 1 0
44 1 44 2023-02-08 17:27:18 232.14 242.74 24.67 21.72 43.3 22.8 1 0
45 1 45 2023-02-08 17:27:28 232.34 242.61 24.67 21.72 33.3 22.8 1 0
46 1 46 2023-02-08 17:27:38 232.12 242.47 24.67 21.72 26.6 22.8 1 0
47 1 47 2023-02-08 17:27:48 232.25 242.59 24.67 21.74 36.6 22.8 1 0
48 1 48 2023-02-08 17:27:58 232.25 242.67 24.67 21.72 33.3 22.8 1 0
49 1 49 2023-02-08 17:28:08 232.23 242.65 24.67 21.72 29.9 22.8 1 0
50 1 50 2023-02-08 17:28:18 232.23 242.34 24.67 21.74 46.6 22.8 1 0
51 1 51 2023-02-08 17:28:28 232.1 242.61 24.67 21.74 26.6 22.8 1 0
52 1 52 2023-02-08 17:28:38 232.18 242.72 24.67 21.74 33.3 22.8 1 0
53 1 53 2023-02-08 17:28:48 232.1 242.41 24.67 21.74 40.0 22.8 1 0
54 1 54 2023-02-08 17:28:58 232.34 242.52 24.67 21.74 29.9 22.8 1 0
55 1 55 2023-02-08 17:29:08 232.14 242.77 24.67 21.74 43.3 22.7 1 0
56 1 56 2023-02-08 17:29:18 232.1 242.61 24.67 21.77 40.0 22.7 1 0
57 1 57 2023-02-08 17:29:28 232.2 242.77 24.67 21.77 49.9 22.8 1 0
58 1 58 2023-02-08 17:29:38 232.07 242.75 24.67 21.77 43.3 22.8 1 0
59 1 59 2023-02-08 17:29:48 232.07 242.93 24.67 21.77 46.6 22.7 1 0
60 1 60 2023-02-08 17:29:58 232.09 243.09 24.7 21.77 40.0 22.8 1 0
61 1 61 2023-02-08 17:30:08 232.18 242.73 24.67 21.77 13.3 22.8 1 0
62 1 62 2023-02-08 17:30:18 232.29 242.64 24.67 21.8 13.3 22.8 1 0
63 1 63 2023-02-08 17:30:28 232.38 242.64 24.67 21.8 40.0 22.8 1 0
64 1 64 2023-02-08 17:30:38 232.16 242.41 24.67 21.8 36.6 22.8 1 0
65 1 65 2023-02-08 17:30:48 232.0 242.64 24.7 21.8 46.6 22.8 1 0
66 1 66 2023-02-08 17:30:58 232.34 242.68 24.67 21.8 49.9 22.7 1 0
67 1 67 2023-02-08 17:31:08 232.07 242.8 24.67 21.8 46.6 22.8 1 0
68 1 68 2023-02-08 17:31:18 232.05 242.78 24.67 21.82 40.0 22.8 1 0
69 1 69 2023-02-08 17:31:28 231.96 242.51 24.7 21.82 33.3 22.8 1 0
70 1 70 2023-02-08 17:31:38 232.11 242.96 24.7 21.82 43.3 22.8 1 0
71 1 71 2023-02-08 17:31:48 232.07 242.55 24.7 21.82 53.3 22.8 1 0
72 1 72 2023-02-08 17:31:58 232.04 242.33 24.7 21.85 40.0 22.8 1 0
73 1 73 2023-02-08 17:32:08 232.15 242.71 24.7 21.82 43.3 22.8 1 0
74 1 74 2023-02-08 17:32:18 232.15 242.67 24.7 21.85 16.6 22.8 1 0
75 1 75 2023-02-08 17:32:28 231.85 242.67 24.7 21.85 49.9 22.8 1 0
76 1 76 2023-02-08 17:32:38 232.02 242.49 24.7 21.85 46.6 22.8 1 0
77 1 77 2023-02-08 17:32:48 231.94 242.76 24.7 21.85 43.3 22.8 1 0
78 1 78 2023-02-08 17:32:58 232.04 242.56 24.7 21.88 10.0 22.8 1 0
79 1 79 2023-02-08 17:33:08 232.0 242.45 24.7 21.88 36.6 22.8 1 0
80 1 80 2023-02-08 17:33:18 232.04 242.4 24.7 21.88 46.6 22.8 1 0
81 1 81 2023-02-08 17:33:28 232.15 242.31 24.7 21.88 13.3 22.8 1 0
82 1 82 2023-02-08 17:33:38 232.13 242.42 24.7 21.88 33.3 22.8 1 0
83 1 83 2023-02-08 17:33:48 231.98 242.47 24.7 21.88 46.6 22.8 1 0
84 1 84 2023-02-08 17:33:58 232.28 242.56 24.7 21.88 43.3 22.7 1 0
85 1 85 2023-02-08 17:34:08 232.13 242.83 24.7 21.88 49.9 22.8 1 0
86 1 86 2023-02-08 17:34:18 232.24 242.85 24.7 21.88 40.0 22.8 1 0
87 1 87 2023-02-08 17:34:28 232.07 242.59 24.7 21.9 13.3 22.8 1 0
88 1 88 2023-02-08 17:34:38 232.18 242.81 24.7 21.9 49.9 22.8 1 0
89 1 89 2023-02-08 17:34:48 232.13 242.81 24.7 21.9 49.9 22.8 1 0
90 1 90 2023-02-08 17:34:58 232.13 242.72 24.7 21.9 40.0 22.8 1 0
91 1 91 2023-02-08 17:35:08 232.13 242.54 24.7 21.93 29.9 22.8 1 0
92 1 92 2023-02-08 17:35:18 232.18 242.57 24.7 21.93 40.0 22.8 1 0
93 1 93 2023-02-08 17:35:28 232.04 242.45 24.7 21.93 40.0 22.8 1 0
94 1 94 2023-02-08 17:35:38 232.02 242.43 24.72 21.93 40.0 22.8 1 0
95 1 95 2023-02-08 17:35:48 232.15 242.63 24.7 21.93 26.6 22.8 1 0
96 1 96 2023-02-08 17:35:58 231.93 242.5 24.72 21.93 36.6 22.8 1 0
97 1 97 2023-02-08 17:36:08 231.88 242.57 24.72 21.93 53.3 22.8 1 0
